naive;EmersonAndLei;Smart
31883087;32240978;9993279
31907184;32576556;10149913
32280248;32596191;10242732
32348077;32666698;10267276
32385116;32942926;10278432
32402965;33075015;10312347
32427063;33122763;10497540
32867509;33183899;10503341
32939355;33198179;10594822
32987996;33324914;10650603
33203088;33326253;10792956
33208444;33415057;10972794
33291445;33429337;11096405
33296354;33799722;11110685
33313758;33863089;11112916
33598018;33891203;11147277
34212948;33984915;11154864
34407511;33999641;11169589
34516396;34241061;11175837
34523536;34399033;11312835
34567268;34424023;11326668
34645362;34473111;11406547
34712745;34662766;11407886
34756478;34677045;11419488
34775221;34691326;11433769
34886336;34955504;11471253
34965768;35118832;11639042
35188447;35255830;11643059
35203619;35739563;11657338
35317412;36086744;11876893
35379887;36557981;11904114
35629340;36559320;12055391
35882362;36578063;12101801
36354938;37031897;12110727
37813277;37053763;12117420
37916807;37063134;12121883
38384029;37097495;12135716
38557173;37305893;12156244
38827153;37419687;12184804
39069912;37466097;12217380
39448330;37699484;12250402
39780339;38098429;12278963
40991456;38120742;12287887
41218596;38268004;12371335
41562208;38301919;12382492
41912512;38521920;12387847
42246752;38890074;12401680
42320383;39205125;12425777
42504683;39228776;12440950
42876408;40351983;12497177
43914828;40772794;12541802
44768054;40807601;12553851
45181280;40893727;12623466
45443673;40977177;12640870
45650286;41826386;12759125
47818160;42581884;12804642
48829358;42909430;12821154
49294794;43699736;12878274
49691063;44410163;12905048
51412687;44434707;12975556
53333785;45060793;13067929
53402507;45291949;13084440
53651068;45470894;13190647
53734070;45557020;13262047
53853218;46044323;13329431
55253098;46721728;13351296
57281296;46875237;13385657
60223409;47823961;13464644
63991082;48385786;13518194
64136559;48994470;13736855
65044228;49590657;13742210
66660092;50102949;13769877
72598761;50368467;13844846
73374787;50898163;13858680
75764445;52198530;13871175
82045387;53312366;13872960
82056543;55688190;14065740
84887094;55968880;14095638
102612961;57633386;14253610
110117069;59643734;14325455
111600844;62017326;14420061
111983724;62661709;14645862
114509043;65595790;15222415
122269296;65911288;15623591
124600496;66087556;15626269
140605184;67951534;15844930
586506083;71968659;16566514
604823227;72748701;16571868
605692966;82526443;17062741
